image,noise_setting,filter,MSE,PSNR_dB,SSIM
textured,gaussian_0_0.01,geometric_mean_k3,470.53907877604166,21.40484662983453,0.33842384498818906
textured,gaussian_0_0.01,harmonic_mean_k3,584.9464095052083,20.459642813195362,0.2930944243631837
textured,gaussian_0_0.01,contraharmonic_k3_Q1,787.0733919270833,19.170651301316607,0.3536736294808884
textured,gaussian_0_0.01,contraharmonic_k3_Q-1,584.9464095052083,20.459642813195362,0.2930944243631837
textured,gaussian_0_0.01,median_k3,207.010439453125,24.970881135628495,0.5378629965183912
textured,gaussian_0_0.01,min_k3,979.2802734375,18.221733546754457,0.23172441538487384
textured,gaussian_0_0.01,max_k3,2314.1941796875,14.486805638888931,0.22783509276843902
textured,gaussian_0_0.01,midpoint_k3,397.97498372395836,22.13224587216581,0.42537030507357065
textured,gaussian_0_0.01,alpha_trimmed_k3_d2,183.20804361979165,25.501358237249242,0.582122950623797
textured,gaussian_0_0.01,alpha_trimmed_k3_d6,188.52931315104166,25.377014755568656,0.5720776195789519
textured,gaussian_0_0.01,adaptive_local_noise_reduction_k3,200.46642252604167,25.11038720733903,0.48753645091999454
textured,gaussian_0_0.01,arithmetic_mean_k5,253.19346354166666,24.09627871151454,0.5982628861724121
textured,gaussian_0_0.01,geometric_mean_k5,652.445224609375,19.985363040889187,0.27466574532794186
textured,gaussian_0_0.01,harmonic_mean_k5,902.7157649739584,18.57529333849164,0.2202960269638807
textured,gaussian_0_0.01,contraharmonic_k5_Q1,959.663486328125,18.309613899652405,0.3821392194358959
textured,gaussian_0_0.01,contraharmonic_k5_Q-1,902.7157649739584,18.57529333849164,0.2202960269638807
textured,gaussian_0_0.01,median_k5,241.36522135416666,24.30405668686165,0.6225356969485127
textured,gaussian_0_0.01,min_k5,1465.6892805989582,16.470384492422056,0.1745076082797692
textured,gaussian_0_0.01,max_k5,4271.468395182292,11.825031635245917,0.19182714961626937
textured,gaussian_0_0.01,midpoint_k5,720.1763411458334,19.556415108120714,0.37614040109938224
textured,gaussian_0_0.01,alpha_trimmed_k5_d2,241.924775390625,24.294000143561213,0.6153101275243987
textured,gaussian_0_0.01,alpha_trimmed_k5_d6,231.82915364583334,24.479123111584894,0.638977152319669
textured,gaussian_0_0.01,adaptive_local_noise_reduction_k5,187.78526692708334,25.39418845053185,0.5306230731910112
textured,gaussian_0_0.01,adaptive_median_Smax7,280.65252604166665,23.64911405382877,0.4001080606952839
textured,gaussian_0_0.05,arithmetic_mean_k3,546.1458723958333,20.757717051313055,0.3111667099993172
textured,gaussian_0_0.05,geometric_mean_k3,922.80736328125,18.479693096746225,0.22935033060984492
textured,gaussian_0_0.05,harmonic_mean_k3,1107.661669921875,17.68673233439393,0.1937250376819744
textured,gaussian_0_0.05,contraharmonic_k3_Q1,3599.3890983072915,12.568515639194173,0.15848890538198132
textured,gaussian_0_0.05,contraharmonic_k3_Q-1,1107.661669921875,17.68673233439393,0.1937250376819744
textured,gaussian_0_0.05,median_k3,496.088564453125,21.17521144821739,0.29358841266557945
textured,gaussian_0_0.05,min_k3,1627.87556640625,16.014591561921826,0.16367638309440447
textured,gaussian_0_0.05,max_k3,8531.626884765625,8.820485067570283,0.10012346870403532
textured,gaussian_0_0.05,midpoint_k3,1550.0202473958334,16.2274298961707,0.20212557206248163
textured,gaussian_0_0.05,alpha_trimmed_k3_d2,440.076162109375,21.69552516378456,0.32418070547590416
textured,gaussian_0_0.05,alpha_trimmed_k3_d6,433.72289388020835,21.758680140628677,0.31912684476334724
textured,gaussian_0_0.05,adaptive_local_noise_reduction_k3,757.453173828125,19.33724571187486,0.2494641017044222
textured,gaussian_0_0.05,arithmetic_mean_k5,513.2750325520833,21.02730221657954,0.38956427493614604
textured,gaussian_0_0.05,geometric_mean_k5,1148.8682291666667,17.52810141254949,0.1872259535497645
textured,gaussian_0_0.05,harmonic_mean_k5,1546.8107779947916,16.236431713436886,0.1580611190497346
textured,gaussian_0_0.05,contraharmonic_k5_Q1,3895.1905989583333,12.225516474984454,0.19064259150102267
textured,gaussian_0_0.05,contraharmonic_k5_Q-1,1546.8107779947916,16.236431713436886,0.1580611190497346
textured,gaussian_0_0.05,median_k5,358.91032552083334,22.580944081010813,0.4138156669620194
textured,gaussian_0_0.05,min_k5,2196.1717805989583,14.714140540295286,0.13795719225441946
textured,gaussian_0_0.05,max_k5,14018.564339192708,6.66376821666096,0.08226093348865815
textured,gaussian_0_0.05,midpoint_k5,2624.1791438802084,13.940868813293152,0.18359223977504824
textured,gaussian_0_0.05,alpha_trimmed_k5_d2,441.81287434895836,21.678419938837713,0.4050385116725623
textured,gaussian_0_0.05,alpha_trimmed_k5_d6,367.866025390625,22.473906808560567,0.4272421156531394
textured,gaussian_0_0.05,adaptive_local_noise_reduction_k5,649.1880826822917,20.007098220994596,0.3012712220870153
textured,gaussian_0_0.05,adaptive_median_Smax7,1033.3665787760417,17.988259494177584,0.18084161975611066
textured,rayleigh_0.1,arithmetic_mean_k3,1097.302822265625,17.727538646602476,0.4176684522898415
textured,rayleigh_0.1,geometric_mean_k3,900.5709440104166,18.58562430077003,0.43320586558893226
textured,rayleigh_0.1,harmonic_mean_k3,757.878583984375,19.334807258548633,0.4384613466614643
textured,rayleigh_0.1,contraharmonic_k3_Q1,1621.74984375,16.030964961084184,0.36801731712173874
textured,rayleigh_0.1,contraharmonic_k3_Q-1,757.878583984375,19.334807258548633,0.4384613466614643
textured,rayleigh_0.1,median_k3,1033.5862825520833,17.98733624005087,0.3956394933326949
textured,rayleigh_0.1,min_k3,382.318623046875,22.306549075009695,0.49741132009681627
textured,rayleigh_0.1,max_k3,4498.47013671875,11.600155191251279,0.20952634942231313
textured,rayleigh_0.1,midpoint_k3,1380.9844140625,16.72891583755498,0.35757561504324864
textured,rayleigh_0.1,alpha_trimmed_k3_d2,1045.3563541666667,17.938159974385663,0.41876117777462796
textured,rayleigh_0.1,alpha_trimmed_k3_d6,1009.71498046875,18.08881561222386,0.4098264790107495
textured,rayleigh_0.1,adaptive_local_noise_reduction_k3,1021.5919401041666,18.038029029849998,0.4344008719975346
textured,rayleigh_0.1,arithmetic_mean_k5,1162.563095703125,17.47663828233154,0.40762758538954513
textured,rayleigh_0.1,geometric_mean_k5,937.4894856770833,18.411139552287192,0.4247162545382431
textured,rayleigh_0.1,harmonic_mean_k5,772.3723567708333,19.252536388945792,0.4365978132669092
textured,rayleigh_0.1,contraharmonic_k5_Q1,1796.7126692708334,15.586017306857824,0.36364810523460656
textured,rayleigh_0.1,contraharmonic_k5_Q-1,772.3723567708333,19.252536388945792,0.4365978132669092
textured,rayleigh_0.1,median_k5,1061.8570149739583,17.870143203828302,0.40279227038045334
textured,rayleigh_0.1,min_k5,536.7899674479166,20.832759705525888,0.5534567205066416
textured,rayleigh_0.1,max_k5,6842.026041666667,9.778956380328085,0.17296848803577405
textured,rayleigh_0.1,midpoint_k5,1765.771767578125,15.66145792139923,0.31598748783111263
textured,rayleigh_0.1,alpha_trimmed_k5_d2,1126.5430501302083,17.613325682019763,0.4109068509199705
textured,rayleigh_0.1,alpha_trimmed_k5_d6,1083.510986328125,17.782470416334014,0.41392564019682604
textured,rayleigh_0.1,adaptive_local_noise_reduction_k5,1010.46544921875,18.085588925664894,0.46544676966865994
textured,rayleigh_0.1,adaptive_median_Smax7,1104.9348372395834,17.697436943053685,0.3399830983769198
textured,rayleigh_0.3,arithmetic_mean_k3,9002.66515625,8.58709263505498,0.1578747085089028
textured,rayleigh_0.3,geometric_mean_k3,7210.739280598958,9.551005678509037,0.16875369170149887
textured,rayleigh_0.3,harmonic_mean_k3,5649.537154947917,10.610674916831453,0.1735655283070997
textured,rayleigh_0.3,contraharmonic_k3_Q1,13000.297330729167,6.991270756673577,0.12921287239573515
textured,rayleigh_0.3,contraharmonic_k3_Q-1,5649.537154947917,10.610674916831453,0.1735655283070997
textured,rayleigh_0.3,median_k3,8573.973391927084,8.798982294606363,0.137105905818444
textured,rayleigh_0.3,min_k3,1359.08591796875,16.798334482706178,0.21540988023732802
textured,rayleigh_0.3,max_k3,30519.877643229167,3.284975727048878,0.05220698250003587
textured,rayleigh_0.3,midpoint_k3,10473.726705729166,7.929791233381751,0.13162161253962004
textured,rayleigh_0.3,alpha_trimmed_k3_d2,8695.61439453125,8.737800880739808,0.15494929304668303
textured,rayleigh_0.3,alpha_trimmed_k3_d6,8496.189807942708,8.83856154726874,0.14580218112223395
textured,rayleigh_0.3,adaptive_local_noise_reduction_k3,9069.436832682291,8.555000405169586,0.15680447004528936
textured,rayleigh_0.3,arithmetic_mean_k5,8915.811975911458,8.629194597278515,0.18051892615480847
textured,rayleigh_0.3,geometric_mean_k5,6951.635501302083,9.70993368417404,0.19466490006865403
textured,rayleigh_0.3,harmonic_mean_k5,5137.041110026042,11.02367319615829,0.20321657648791347
textured,rayleigh_0.3,contraharmonic_k5_Q1,13272.019026692707,6.901433652490044,0.1475098913600107
textured,rayleigh_0.3,contraharmonic_k5_Q-1,5137.041110026042,11.02367319615829,0.20321657648791347
textured,rayleigh_0.3,median_k5,8285.48205078125,8.94762580049295,0.16216335183054914
textured,rayleigh_0.3,min_k5,719.3045833333333,19.561675332794366,0.3058742942152536
textured,rayleigh_0.3,max_k5,39596.795862630206,2.1542031624236007,0.043887176298870616
textured,rayleigh_0.3,midpoint_k5,11558.343323567708,7.501847704679069,0.12910617789048778
textured,rayleigh_0.3,alpha_trimmed_k5_d2,8729.383763020833,8.72096774409279,0.18027479685664582
textured,rayleigh_0.3,alpha_trimmed_k5_d6,8493.32931640625,8.840023973241436,0.17934996491974176
textured,rayleigh_0.3,adaptive_local_noise_reduction_k5,8907.384576822917,8.633301574590778,0.18430883997098263
textured,rayleigh_0.3,adaptive_median_Smax7,9407.425413411458,8.396095771576707,0.1048233756026648
textured,erlang_2_5,arithmetic_mean_k3,9580.289700520834,8.31701718862925,0.13857844049537216
textured,erlang_2_5,geometric_mean_k3,6908.908655598958,9.736709100615057,0.15728960062698474
textured,erlang_2_5,harmonic_mean_k3,4867.872838541667,11.257411360594672,0.17160823246822965
textured,erlang_2_5,contraharmonic_k3_Q1,16196.206888020834,6.036670451207597,0.1025594881465565
